Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-08-28,15.744503021,15.774378777,15.505496979,15.535372734,1.047476099,1765230.0,0.0,1,0.067425231,Down
1980-08-29,15.535372734,,15.475621223,15.654875755,,1582389.0,0.0,8,,Up
1980-09-02,15.654875755,15.893880844,15.625,15.804253578,1.065605452,1222565.0,0.0,9,0.067425231,Up
1980-09-03,15.804253578,16.132886887,15.804253578,16.132886887,1.087763629,1492851.0,0.0,9,0.067425231,Up
1980-09-04,16.132886887,,15.834130287,15.923756599,1.073662971,2295761.0,0.0,7,,Down
1980-09-05,15.923756599,16.073135376,,15.893880844,1.071648591,1002905.0,0.0,2,0.067425231,Down
1980-09-08,15.893880844,15.923756599,15.356119156,15.356119156,1.035389885,1057297.0,0.0,8,,Down
,15.356119156,15.834130287,15.326243401,,1.065605452,1726318.0,0.0,10,0.067425231,Down
1980-09-10,15.804253578,15.834130287,15.595124245,15.714627266,1.059562377,1575276.0,0.0,1,0.067425231,Down
,15.714627266,15.864006042,15.714627266,15.864006042,1.069634276,1782384.0,0.0,6,0.067425231,Up
1980-09-12,15.864006042,15.893880844,15.714627266,15.744503021,1.061576757,1809162.0,0.0,9,0.067425231,Down
1980-09-15,15.744503021,15.834130287,15.535372734,15.804253578,1.065605452,1363566.0,0.0,3,0.067425231,Up
1980-09-16,15.804253578,15.864006042,15.595124245,15.684750557,1.057547933,1791589.0,0.0,0,0.067425231,Down
1980-09-17,15.684750557,16.222513199,15.684750557,16.073135376,1.083734869,3470628.0,0.0,8,0.067425231,Up
1980-09-18,16.073135376,16.103010178,15.834130287,15.893880844,1.071648591,4292784.0,0.0,3,0.067425231,Down
1980-09-19,15.893880844,16.132886887,15.834130287,,1.07970611,2296179.0,0.0,10,0.067425231,Down
1980-09-22,16.013383865,,15.893880844,16.282266617,1.097835591,2380278.0,0.0,3,0.067425231,Up
1980-09-23,,16.49139595,15.684750557,15.983509064,1.077691794,3844678.0,0.0,4,0.067425231,Down
1980-09-24,15.983509064,16.252389908,15.953633308,16.132886887,1.087763629,2291577.0,0.0,2,0.067425231,Up
1980-09-25,16.132886887,16.222513199,15.804253578,15.804253578,1.065605452,2678597.0,0.0,7,0.067425231,Down
1980-09-26,15.744503021,15.744503021,15.356119156,15.445746422,1.041433024,2896583.0,0.0,8,0.067425231,Down
,15.356119156,15.356119156,15.146988869,15.236616135,1.027332366,2788218.0,0.0,8,0.067425231,Down
1980-09-30,15.266490936,15.415869713,15.266490936,15.326243401,1.033375505,2167312.0,0.0,6,0.067425231,Up
1980-10-01,15.326243401,15.684750557,15.206740379,15.445746422,1.041433024,2531738.0,0.0,7,0.067425231,Up
1980-10-02,15.445746422,15.625,15.326243401,15.625,1.053519238,2000370.0,0.0,8,0.067425231,Up
,15.654875755,16.013383865,15.654875755,,1.067619896,2080285.0,0.0,1,0.067425231,Down
1980-10-06,15.893880844,16.312141418,15.893880844,16.252389908,1.095821147,3090302.0,0.0,1,0.067425231,Up
1980-10-07,,16.312141418,16.043260574,16.192638397,1.091792388,2920432.0,0.0,4,,Down
1980-10-08,16.252389908,16.820028305,16.252389908,16.730401993,1.128051223,4895280.0,0.0,0,0.067425231,Up
1980-10-09,16.730401993,16.939531326,16.670650482,16.760276794,1.130065538,4958040.0,0.0,9,0.067425231,Up
1980-10-10,16.760276794,17.088909149,16.521272659,16.551147461,1.115964945,4619136.0,0.0,7,,Down
1980-10-13,16.551147461,16.909656525,16.551147461,16.849903107,1.136108613,1546406.0,0.0,6,0.067425231,Up
1980-10-14,,16.939531326,16.610898972,16.670650482,1.124022463,3005367.0,0.0,6,0.067425231,Down
1980-10-15,16.640773773,16.820028305,16.640773773,16.820028305,1.134094298,1458961.0,0.0,5,0.067425231,Up
1980-10-16,16.820028305,16.999282837,16.371892929,16.401769638,,3888191.0,,0,0.067425231,Down
1980-10-17,16.401769638,16.581022263,16.192638397,16.252389908,1.095821147,2333835.0,0.0,1,0.067425231,Down
1980-10-20,16.252389908,16.371892929,15.893880844,16.371892929,1.103878666,1976103.0,0.0,9,0.067425231,Up
1980-10-21,16.371892929,16.461519241,16.132886887,16.252389908,1.095821147,2632573.0,0.0,6,0.067425231,Down
1980-10-22,16.252389908,16.282266617,16.132886887,16.192638397,1.091792388,1837613.0,0.0,8,0.067425231,Down
1980-10-23,16.192638397,16.192638397,15.684750557,15.744503021,1.061576757,1890331.0,0.0,9,0.067425231,Down
,15.744503021,15.923756599,15.654875755,,1.073662971,1941794.0,0.0,5,0.067425231,Down
1980-10-27,15.893880844,15.893880844,15.714627266,15.804253578,1.065605452,1020059.0,0.0,9,0.067425231,Down
1980-10-28,15.804253578,15.953633308,15.744503021,15.923756599,1.073662971,2037190.0,0.0,7,0.067425231,Up
1980-10-29,15.923756599,16.043260574,15.654875755,15.654875755,,1607074.0,0.0,8,0.067425231,Down
1980-10-30,15.654875755,15.834130287,15.565249443,15.565249443,1.049490543,1648914.0,0.0,3,0.067425231,Down
1980-10-31,15.595124245,16.073135376,15.595124245,15.923756599,1.073662971,,0.0,3,0.067425231,Up
,15.953633308,16.162763596,15.953633308,16.132886887,1.087763629,1588246.0,0.0,3,0.067425231,Up
1980-11-05,16.252389908,16.790153503,16.252389908,16.371892929,1.103878666,4631688.0,0.21,3,0.067425231,Up
1980-11-06,16.282266617,16.282266617,15.834130287,15.893880844,1.085273932,2505798.0,0.0,8,0.068282501,Down
1980-11-07,15.893880844,16.043260574,15.893880844,16.043260574,1.095473954,1829663.0,0.0,7,0.068282501,Up
1980-11-10,16.043260574,16.073135376,15.893880844,16.073135376,1.09751388,1474442.0,0.0,4,0.068282501,Up
1980-11-11,16.073135376,,15.983509064,16.043260574,,1301642.0,0.0,5,0.068282501,Down
1980-11-12,16.073135376,16.999282837,16.073135376,16.939531326,1.156673562,4493616.0,0.0,7,0.068282501,Up
1980-11-13,16.939531326,17.118785858,16.790153503,17.029159546,1.162793601,5518696.0,0.0,3,,Up
1980-11-14,17.029159546,17.268163681,16.820028305,17.118785858,1.16891351,3778570.0,0.0,8,0.068282501,Up
1980-11-17,17.118785858,17.148662567,16.879779816,17.118785858,1.16891351,3184024.0,0.0,9,0.068282501,Down
